RegionType,RegionName,State,CBSA Title,SizeRankCity,SizeRankMetro,PctPriceCut,DaysOnMarket,BuyerSellerIndex,BuyerSellerIndexMetro
Zip,79109,TX,"Amarillo, TX",2734,181,27.18120805,69,7.272727273,9.102209945
Zip,79106,TX,"Amarillo, TX",5504,181,26.84563758,73.5,8.181818182,9.102209945
Zip,79107,TX,"Amarillo, TX",6284,181,15.09433962,107,5.454545455,9.102209945
Zip,79118,TX,"Amarillo, TX",7246,181,17.44680851,77,4.545454545,9.102209945
Zip,79015,TX,"Amarillo, TX",7582,181,20,72,2.727272727,9.102209945
Zip,79119,TX,"Amarillo, TX",8141,181,22.45614035,74,6.363636364,9.102209945
Zip,79110,TX,"Amarillo, TX",8430,181,16.66666667,63,1.818181818,9.102209945
Zip,79108,TX,"Amarillo, TX",9878,181,14.58333333,95,3.636363636,9.102209945
Zip,79124,TX,"Amarillo, TX",10214,181,21.67832168,99,9.090909091,9.102209945
Zip,79102,TX,"Amarillo, TX",10254,181,12.5,58,0.909090909,9.102209945
Zip,79121,TX,"Amarillo, TX",10827,181,24.65753425,81.5,10,9.102209945
Zip,78660,TX,"Austin-Round Rock, TX",1361,35,24.89270386,50,4.736842105,5.814917127
Zip,78613,TX,"Austin-Round Rock, TX",1483,35,24.94929006,52,6.140350877,5.814917127
Zip,78704,TX,"Austin-Round Rock, TX",1623,35,20.25974026,66,5.614035088,5.814917127
Zip,78666,TX,"Austin-Round Rock, TX",1681,35,19.94609164,61,4.035087719,5.814917127
Zip,78745,TX,"Austin-Round Rock, TX",1709,35,24.02826855,47,3.333333333,5.814917127
Zip,78641,TX,"Austin-Round Rock, TX",2021,35,24.73262032,60,7.543859649,5.814917127
Zip,78758,TX,"Austin-Round Rock, TX",2323,35,20,43,0.701754386,5.814917127
Zip,78741,TX,"Austin-Round Rock, TX",2384,35,13.38582677,47,0.526315789,5.814917127
Zip,78664,TX,"Austin-Round Rock, TX",2470,35,22.61484099,46,1.578947368,5.814917127
Zip,78753,TX,"Austin-Round Rock, TX",2486,35,15.2173913,45,0.350877193,5.814917127
Zip,78759,TX,"Austin-Round Rock, TX",2513,35,29.57746479,51,7.368421053,5.814917127
